"arcLength", "radius", "height", "normalX", "normalY", "thickness", "thickX", "thickY"
 1279.00100,      500,      879,    2.000000,0.000000,    25.58002, 25.58002,  0.00000
 1280.00100,      500,      880,    2.000000,0.000000,    25.60002, 25.60002,  0.00000
 1281.00100,      500,      881,    2.000000,0.000000,    25.62002, 25.62002,  0.00000
 1282.00100,      500,      882,    2.000000,0.000000,    25.64002, 25.64002,  0.00000
 1283.00100,      500,      883,    2.000000,0.000000,    25.66002, 25.66002,  0.00000
 1284.00100,      500,      884,    2.000000,0.000000,    25.68002, 25.68002,  0.00000
 1285.00100,      500,      885,    2.000000,0.000000,    25.70002, 25.70002,  0.00000
 1286.00100,      500,      886,    2.000000,0.000000,    25.72002, 25.72002,  0.00000
 1287.00100,      500,      887,    2.000000,0.000000,    25.74002, 25.74002,  0.00000
 1288.00100,      500,      888,    2.000000,0.000000,    25.76002, 25.76002,  0.00000
 1289.00100,      500,      889,    2.000000,0.000000,    25.78002, 25.78002,  0.00000
 1290.00100,      500,      890,    2.000000,0.000000,    25.80002, 25.80002,  0.00000
 1291.00100,      500,      891,    2.000000,0.000000,    25.82002, 25.82002,  0.00000
 1292.00100,      500,      892,    2.000000,0.000000,    25.84002, 25.84002,  0.00000
 1293.00100,      500,      893,    2.000000,0.000000,    25.86002, 25.86002,  0.00000
 1294.00100,      500,      894,    2.000000,0.000000,    25.88002, 25.88002,  0.00000
 1295.00100,      500,      895,    2.000000,0.000000,    25.90002, 25.90002,  0.00000
 1296.00100,      500,      896,    2.000000,0.000000,    25.92002, 25.92002,  0.00000
 1297.00100,      500,      897,    2.000000,0.000000,    25.94002, 25.94002,  0.00000
 1298.00100,      500,      898,    2.000000,0.000000,    25.96002, 25.96002,  0.00000
 1299.00100,      500,      899,    2.000000,0.000000,    25.98002, 25.98002,  0.00000
 1300.00100,      500,      900,    2.000000,0.000000,    26.00002, 26.00002,  0.00000
 1301.00100,      500,      901,    2.000000,0.000000,    26.02002, 26.02002,  0.00000
 1302.00100,      500,      902,    2.000000,0.000000,    26.04002, 26.04002,  0.00000
 1303.00100,      500,      903,    2.000000,0.000000,    26.06002, 26.06002,  0.00000
 1304.00100,      500,      904,    2.000000,0.000000,    26.08002, 26.08002,  0.00000
 1305.00100,      500,      905,    2.000000,0.000000,    26.10002, 26.10002,  0.00000
 1306.00100,      500,      906,    2.000000,0.000000,    26.12002, 26.12002,  0.00000
 1307.00100,      500,      907,    2.000000,0.000000,    26.14002, 26.14002,  0.00000
 1308.00100,      500,      908,    2.000000,0.000000,    26.16002, 26.16002,  0.00000
 1309.00100,      500,      909,    2.000000,0.000000,    26.18002, 26.18002,  0.00000
 1310.00100,      500,      910,    2.000000,0.000000,    26.20002, 26.20002,  0.00000
 1311.00100,      500,      911,    2.000000,0.000000,    26.22002, 26.22002,  0.00000
 1312.00100,      500,      912,    2.000000,0.000000,    26.24002, 26.24002,  0.00000
 1313.00100,      500,      913,    2.000000,0.000000,    26.26002, 26.26002,  0.00000
 1314.00100,      500,      914,    2.000000,0.000000,    26.28002, 26.28002,  0.00000
 1315.00100,      500,      915,    2.000000,0.000000,    26.30002, 26.30002,  0.00000
